id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413601510005501952,1413601510005501952,2021-07-09 20:50:38 UTC,2021-07-09,20:50:38,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,"[ 俺ん家 ]┣ю     ,,,囲⊃ヽ|*^_−|b　おはよう♪ ． ． ． ． ．  ,,,,|*^_−|/ 어[ コペン ] とりあえず今朝は曇り空 ． ． ． ． ． [ 闘う愛のコペン乗り ]┃ｮ^_^| これから仕事に行ってきます♪",ja,[],[],[],4,0,3,[],[],https://twitter.com/It_ANDANTE/status/1413601510005501952,False,,0,,,,,,,,[],,,,
1413473978698506240,1413473978698506240,2021-07-09 12:23:52 UTC,2021-07-09,12:23:52,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,™[ 会社 ]┣ю━|°_° ;| 今夜も遅くなりました♪ ． ． ． ．   |°∀° ; | 京都市内は雨😭♪ ． ． ． ． ぶ～ん♪ ～ε= ε= ε= [ 闘う愛のコペン乗り ]┃ｮ^_^| それじゃ帰ります寝♪,ja,[],[],[],1,0,2,[],[],https://twitter.com/It_ANDANTE/status/1413473978698506240,False,,0,,,,,,,,[],,,,
1413237830025760769,1413237830025760769,2021-07-08 20:45:30 UTC,2021-07-08,20:45:30,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,"[ 俺ん家 ]┣ю     ,,,囲⊃ヽ|*^_−|b　おっはようございます♪ ． ． ． ． ．  ,,,,|*^_−|/ 어[ コペン ] 今朝も☂ ． ． ． ． ． [ 闘う愛のコペン乗り ]┃ｮ^_^| そろそろ仕事に行ってきます♪",ja,[],[],[],2,0,1,[],[],https://twitter.com/It_ANDANTE/status/1413237830025760769,False,,0,,,,,,,,[],,,,
1413104810333597702,1413104810333597702,2021-07-08 11:56:55 UTC,2021-07-08,11:56:55,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,™[ 会社 ]┣ю━|°_° ;| そろそろ帰ろかなと思います♪ ． ． ． ．   |°∀° ; | お疲れさま♪ ． ． ． ． ぶ～ん♪ ～ε= ε= ε= [ 闘う愛のコペン乗り ]┃ｮ^_^| それじゃ♪,ja,[],[],[],2,0,3,[],[],https://twitter.com/It_ANDANTE/status/1413104810333597702,False,,0,,,,,,,,[],,,,
1412876762229264385,1412876762229264385,2021-07-07 20:50:44 UTC,2021-07-07,20:50:44,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,"[ 俺ん家 ]┣ю     ,,,囲⊃ヽ|*^_−|b　おはよう♪ ． ． ． ． ．  ,,,,|*^_−|/ 어[ コペン ] 雨雲にスッポリ覆われてます ． ． ． ． ． [ 闘う愛のコペン乗り ]┃ｮ^_^| そろそろ仕事に行ってきますね♪",ja,[],[],[],3,0,1,[],[],https://twitter.com/It_ANDANTE/status/1412876762229264385,False,,0,,,,,,,,[],,,,
1412742141986566147,1412742141986566147,2021-07-07 11:55:48 UTC,2021-07-07,11:55:48,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,™[ 会社 ]┣ю━|°_° ;| さて鍵を締めてと♪ ． ． ． ．   |°∀° ; | 京都市内は終日雨でした♪ ． ． ． ． ぶ～ん♪ ～ε= ε= ε= [ 闘う愛のコペン乗り ]┃ｮ^_^| それじゃ帰ります♪,ja,[],[],[],1,0,0,[],[],https://twitter.com/It_ANDANTE/status/1412742141986566147,False,,0,,,,,,,,[],,,,
1412513850050498563,1412513850050498563,2021-07-06 20:48:39 UTC,2021-07-06,20:48:39,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,"[ 俺ん家 ]┣ю     ,,,囲⊃ヽ|*^_−|b　おはようございます♪ ． ． ． ． ．  ,,,,|*^_−|/ 어[ コペン ] 休み明け、仕事になります ． ． ． ． ． [ 闘う愛のコペン乗り ]┃ｮ^_^| じゃ出かけてきます♪",ja,[],[],[],2,0,1,[],[],https://twitter.com/It_ANDANTE/status/1412513850050498563,False,,0,,,,,,,,[],,,,
1411688400038416389,1411688400038416389,2021-07-04 14:08:37 UTC,2021-07-04,14:08:37,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,™[ 会社 ]┣ю━|°_° ;| 今夜はめっちゃ遅くなりました♪ ． ． ． ．   |°∀° ; | 一応、明日明後日は連休にしました♪ ． ． ． ． ぶ～ん♪ ～ε= ε= ε= [ 闘う愛のコペン乗り ]┃ｮ^_^| それじゃ帰ります♪,ja,[],[],[],2,0,1,[],[],https://twitter.com/It_ANDANTE/status/1411688400038416389,False,,0,,,,,,,,[],,,,
1411426664395935747,1411426664395935747,2021-07-03 20:48:34 UTC,2021-07-03,20:48:34,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,"[ 俺ん家 ]┣ю     ,,,囲⊃ヽ|*^_−|b　おはようございます♪ ． ． ． ． ．  ,,,,|*^_−|/ 어[ コペン ] 日曜日も仕事になります ． ． ． ． ． [ 闘う愛のコペン乗り ]┃ｮ^_^| じゃ♪",ja,[],[],[],2,0,1,[],[],https://twitter.com/It_ANDANTE/status/1411426664395935747,False,,0,,,,,,,,[],,,,
1411316525571526662,1411316525571526662,2021-07-03 13:30:55 UTC,2021-07-03,13:30:55,+0000,101008874,it_andante,アンダンテ(ゆっくり歩くような早さで),,™[ 会社 ]┣ю━|°_° ;| 今夜はすっごく遅くなりました♪ ． ． ． ．   |°∀° ; | 京都市内は雨、いやだな♪ ． ． ． ． ぶ～ん♪ ～ε= ε= ε= [ 闘う愛のコペン乗り ]┃ｮ^_^| それじゃ帰ります♪,ja,[],[],[],1,0,2,[],[],https://twitter.com/It_ANDANTE/status/1411316525571526662,False,,0,,,,,,,,[],,,,
