id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
767430446791524352,767430446791524352,2016-08-21 18:37:31 UTC,2016-08-21,18:37:31,+0000,115983417,hideponja,hidepon pon,,ただいまの記録は「05:36.80」でした。 #四川省136 #sichuan136hide  https://t.co/iAkTw5mDvR,ja,[],['https://itunes.apple.com/jp/app/si-chuan-sheng136/id928863176?mt=8&uo=4'],[],8,1,74,"['四川省136', 'sichuan136hide']",[],https://twitter.com/hideponja/status/767430446791524352,False,,0,,,,,,,,[],,,,
575076562774577152,575076562774577152,2015-03-09 23:31:51 UTC,2015-03-09,23:31:51,+0000,115983417,hideponja,hidepon pon,,Jam(Japan Amazing Magazine)。 東大発の日本を世界へ発信していくベンチャー事業のFacebookページです。ローンチから3週間で世界中から1万2千イイね！  https://t.co/b5kRA79mpY,ja,[],['https://www.facebook.com/JapanAmazingMagazine'],[],2,0,1,[],[],https://twitter.com/hideponja/status/575076562774577152,False,,0,,,,,,,,[],,,,
574777720371970048,574777720371970048,2015-03-09 03:44:22 UTC,2015-03-09,03:44:22,+0000,115983417,hideponja,hidepon pon,,東大発の日本を世界へ発信していくベンチャー事業のFacebookページです。ローンチから3週間で世界中から1万2千イイね！  https://t.co/b5kRA79mpY,ja,[],['https://www.facebook.com/JapanAmazingMagazine'],[],2,0,0,[],[],https://twitter.com/hideponja/status/574777720371970048,False,,0,,,,,,,,[],,,,
347385797391040512,347385797391040512,2013-06-19 16:10:02 UTC,2013-06-19,16:10:02,+0000,115983417,hideponja,hidepon pon,,Koji さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/lqk5uDhhJV #tabecolle,ja,[],['http://bit.ly/16gJVYF'],[],0,0,1,['tabecolle'],[],https://twitter.com/hideponja/status/347385797391040512,False,,0,,,,,,,,[],,,,
347385794060759040,347385794060759040,2013-06-19 16:10:02 UTC,2013-06-19,16:10:02,+0000,115983417,hideponja,hidepon pon,,Koji さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/W5wVWcJjsL #tabecolle,ja,[],['http://bit.ly/16gJVYw'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347385794060759040,False,,0,,,,,,,,[],,,,
347385289653747712,347385289653747712,2013-06-19 16:08:01 UTC,2013-06-19,16:08:01,+0000,115983417,hideponja,hidepon pon,,たけとんたん さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/YEp7WZzp9x #tabecolle,ja,[],['http://bit.ly/16fGC3Q'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347385289653747712,False,,0,,,,,,,,[],,,,
347385047009091584,347385047009091584,2013-06-19 16:07:03 UTC,2013-06-19,16:07:03,+0000,115983417,hideponja,hidepon pon,,kozue さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/GSLsU2GS6k #tabecolle,ja,[],['http://bit.ly/17RuiuB'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347385047009091584,False,,0,,,,,,,,[],,,,
347385043557171200,347385043557171200,2013-06-19 16:07:03 UTC,2013-06-19,16:07:03,+0000,115983417,hideponja,hidepon pon,,kozue さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/PLmUFGIqmw #tabecolle,ja,[],['http://bit.ly/17Ruieb'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347385043557171200,False,,0,,,,,,,,[],,,,
347385039694213120,347385039694213120,2013-06-19 16:07:02 UTC,2013-06-19,16:07:02,+0000,115983417,hideponja,hidepon pon,,kozue さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/rz91Rg4g2m #tabecolle,ja,[],['http://bit.ly/17dLIlS'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347385039694213120,False,,0,,,,,,,,[],,,,
347384792658092032,347384792658092032,2013-06-19 16:06:03 UTC,2013-06-19,16:06:03,+0000,115983417,hideponja,hidepon pon,,kozue さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/mHOe7dtJiY #tabecolle,ja,[],['http://bit.ly/17dLT0g'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347384792658092032,False,,0,,,,,,,,[],,,,
347384789466243072,347384789466243072,2013-06-19 16:06:02 UTC,2013-06-19,16:06:02,+0000,115983417,hideponja,hidepon pon,,kozue さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/SL5Q3EjKf3 #tabecolle,ja,[],['http://bit.ly/17dLPxQ'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347384789466243072,False,,0,,,,,,,,[],,,,
347384538227408896,347384538227408896,2013-06-19 16:05:02 UTC,2013-06-19,16:05:02,+0000,115983417,hideponja,hidepon pon,,kozue さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/73xNmDm84Q #tabecolle,ja,[],['http://bit.ly/11nLXq2'],[],0,0,1,['tabecolle'],[],https://twitter.com/hideponja/status/347384538227408896,False,,0,,,,,,,,[],,,,
347377999445905408,347377999445905408,2013-06-19 15:39:03 UTC,2013-06-19,15:39:03,+0000,115983417,hideponja,hidepon pon,,Atsu さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/MlhUSJbAtz #tabecolle,ja,[],['http://bit.ly/11OdNrY'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347377999445905408,False,,0,,,,,,,,[],,,,
347377995901718528,347377995901718528,2013-06-19 15:39:02 UTC,2013-06-19,15:39:02,+0000,115983417,hideponja,hidepon pon,,Atsu さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/xQq1rlUEhX #tabecolle,ja,[],['http://bit.ly/11OdNrU'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347377995901718528,False,,0,,,,,,,,[],,,,
347377992474963969,347377992474963969,2013-06-19 15:39:02 UTC,2013-06-19,15:39:02,+0000,115983417,hideponja,hidepon pon,,Atsu さんの「たべコレ」に&amp;hearts;(ハート)しました  http://t.co/EXCihkYMBf #tabecolle,ja,[],['http://bit.ly/11OdNrM'],[],0,0,0,['tabecolle'],[],https://twitter.com/hideponja/status/347377992474963969,False,,0,,,,,,,,[],,,,
