id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413781628556619777,1413781628556619777,2021-07-10 08:46:21 UTC,2021-07-10,08:46:21,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,Sam san ☺️🙏🏼❤️,in,[],[],[],0,0,6,[],[],https://twitter.com/Yuki_Ogimi/status/1413781628556619777,False,https://twitter.com/samkerr1/status/1413768351785000966,0,,,,,,,,[],,,,
1413511775610310662,1413511775610310662,2021-07-09 14:54:03 UTC,2021-07-09,14:54:03,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,セルフブランディングをMaking senceさせるには「環境を可変させるインプットが必要」 。I super agree with that. #超相対性理論  分野は変わってないけど働く環境を変えたのはこの12年で短期含めて9回目。環境を変えることと深く自分と対話することはセットで必要。   https://t.co/1xLaATPYpa,ja,[],['https://open.spotify.com/episode/5P1All7wdszVSAQB3I5Yzc?si=rcLhlCGiS56JbWhno-9PQQ&context=spotify%3Ashow%3A5xCiKGwndGU37pIuJTXpmD&dl_branch=1'],[],0,3,31,['超相対性理論'],[],https://twitter.com/Yuki_Ogimi/status/1413511775610310662,False,,0,,,,,,,,[],,,,
1413504013148975104,1413504013148975104,2021-07-09 14:23:13 UTC,2021-07-09,14:23:13,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,理屈抜きに共鳴できる瞬間に美しさを感じる。お互いに振動数、周波数が近くて、お互いの動きに対して同時あるいはコンマ何秒違いで反応する瞬間。ゾワッとかゾクっていう瞬間がフィールドの上にあって、そういう人との仕事はめちゃくちゃワクワクな気持ちにさせてくれる。#新型オトナウィルス,ja,[],[],[],0,5,30,['新型オトナウィルス'],[],https://twitter.com/Yuki_Ogimi/status/1413504013148975104,False,https://twitter.com/higuchiki/status/1410964365835124740,0,,,,,,,,[],,,,
1413474675041071112,1413474675041071112,2021-07-09 12:26:38 UTC,2021-07-09,12:26:38,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,梢教授、お誕生日おめでとう😘❤️ 実は、梢の活躍にパワーもらってる🙏🏼 久しぶりにドイツで日本食を食べながら語り尽くしたい😂,ja,[],[],[],1,1,79,[],[],https://twitter.com/Yuki_Ogimi/status/1413474675041071112,False,https://twitter.com/kozue_ando/status/1413464935732977665,0,,,,,,,,[],,,,
1413472973474828296,1413472973474828296,2021-07-09 12:19:52 UTC,2021-07-09,12:19:52,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,彼女たちの純粋にサッカーが好きな気持ちが、男女関係なく一人の選手としてそして一人の人として、周りの人たちの心に凄く良い影響を与えていそうな雰囲気が伝わってきて、なんだか幸せな気持ちになりました。  彼女たちの成長と虎姫高校サッカー部を応援したい！是非、動画見てみてください‼︎,ja,[],[],[],0,22,117,[],[],https://twitter.com/Yuki_Ogimi/status/1413472973474828296,False,https://twitter.com/yansaka_jp/status/1409844100258357253,0,,,,,,,,[],,,,
1413312113293025283,1413308538374348809,2021-07-09 01:40:40 UTC,2021-07-09,01:40:40,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,@USWNT Wish you will have Miyazaki Beef and Miyazaki Local chicken ☺️🙏🏼 They are so good 😊,en,[],[],[],3,7,254,[],[],https://twitter.com/Yuki_Ogimi/status/1413312113293025283,False,,0,,,,,,,,"[{'screen_name': 'USWNT', 'name': 'U.S. Soccer WNT', 'id': '133448051'}]",,,,
1413077834097176588,1413077834097176588,2021-07-08 10:09:44 UTC,2021-07-08,10:09:44,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,新しい動画アップされました〜🤗  【遠征必須グッズ】パッキングしながらご紹介  https://t.co/cPuJHetvVT   自分で見ながらちょっと笑えました。笑 編集スタイル変わったので覗いてみてください☺️  https://t.co/aXYUsN1QwY,ja,[],['https://youtu.be/wR9bxXMx9vg'],['https://pbs.twimg.com/media/E5xCzRvXIAYBFE5.jpg'],0,0,39,[],[],https://twitter.com/Yuki_Ogimi/status/1413077834097176588,False,,1,https://pbs.twimg.com/media/E5xCzRvXIAYBFE5.jpg,,,,,,,[],,,,
1412899440801849350,1412899440801849350,2021-07-07 22:20:51 UTC,2021-07-07,22:20:51,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,青春な一枚。📸  https://t.co/NbFO2wGLIO,ja,[],[],['https://pbs.twimg.com/media/E5ugjE9XsAc_XEB.jpg'],2,4,174,[],[],https://twitter.com/Yuki_Ogimi/status/1412899440801849350,False,,1,https://pbs.twimg.com/media/E5ugjE9XsAc_XEB.jpg,,,,,,,[],,,,
1412557092297269249,1412557092297269249,2021-07-06 23:40:29 UTC,2021-07-06,23:40:29,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,Here you can buy these 🤗  https://t.co/30yandYMVK,en,[],['https://www.yukinagasato.net/stickers?page=2'],[],1,1,26,[],[],https://twitter.com/Yuki_Ogimi/status/1412557092297269249,False,https://twitter.com/ch1mmmmy/status/1412553983948955648,0,,,,,,,,[],,,,
1412547306302447616,1412547306302447616,2021-07-06 23:01:36 UTC,2021-07-06,23:01:36,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,怠けるのもやる気になるのもその人の自由。,ja,[],[],[],1,2,102,[],[],https://twitter.com/Yuki_Ogimi/status/1412547306302447616,False,,0,,,,,,,,[],,,,
1412491769338544142,1412491769338544142,2021-07-06 19:20:55 UTC,2021-07-06,19:20:55,+0000,133267760,yuki_ogimi,Yuki Nagasato | 永里 優季,,Girls from 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #NewStickers  https://t.co/zuIXKtaA1Y,en,[],[],"['https://pbs.twimg.com/media/E5otxrnWQAoPWXM.jpg', 'https://pbs.twimg.com/media/E5otxrpXwAQjVIE.jpg']",1,2,162,['newstickers'],[],https://twitter.com/Yuki_Ogimi/status/1412491769338544142,False,,1,https://pbs.twimg.com/media/E5otxrnWQAoPWXM.jpg,,,,,,,[],,,,
